-100	288.8	1.02532	1.2368
0	288.150	1.0132500000	1.2250000
500	284.900	0.9546130000	1.1672700
1000	281.651	0.8987630000	1.1116600
1500	278.402	0.8455970000	1.0581000
2000	275.154	0.7950140000	1.0065500
2500	271.906	0.7469170000	0.9569540
3000	268.659	0.7012120000	0.9092540
3500	265.413	0.6578040000	0.8634020
4000	262.166	0.6166040000	0.8193470
4500	258.921	0.5775260000	0.7770380
5000	255.676	0.5404830000	0.7364290
5500	252.431	0.5053930000	0.6974690
6000	249.187	0.4721760000	0.6601100
6500	245.943	0.4407550000	0.6243100
7000	242.700	0.4110530000	0.5900180
7500	239.457	0.3829970000	0.5571920
8000	236.215	0.3565160000	0.5257860
8500	232.974	0.3315420000	0.4957570
9000	229.733	0.3080070000	0.4670630
9500	226.492	0.2858470000	0.4396610
10000	223.252	0.2649990000	0.4135100
12000	216.650	0.1939940000	0.3119370
14000	216.650	0.1417030000	0.2278550
16000	216.650	0.1035280000	0.1664700
18000	216.650	0.0756521000	0.1216470
20000	216.650	0.0552929000	0.0889097
22000	218.574	0.0404748000	0.0645096
24000	220.560	0.0297174000	0.0469377
26000	222.544	0.0218837000	0.0342565
28000	224.527	0.0161619000	0.0250762
30000	226.509	0.0119703000	0.0184101
32000	228.490	0.0088906000	0.0135551
34000	233.744	0.0066341000	0.0098874
36000	239.282	0.0049852000	0.0072579
38000	244.818	0.0037713700	0.0053665
40000	250.350	0.0028714300	0.0039957
42000	255.878	0.0021996600	0.0029948
44000	261.403	0.0016949600	0.0022588
46000	266.925	0.0013134000	0.0017141
48000	270.650	0.0010229500	0.0013167
50000	270.650	0.0007977870	0.0010269
52000	269.031	0.0006221440	0.0008056
54000	263.524	0.0004833740	0.0006390
56000	258.019	0.0003736210	0.0005044
58000	252.518	0.0002872360	0.0003963
60000	247.021	0.0002195860	0.0003097
65000	233.292	0.0001092970	0.0001632
70000	219.585	0.0000522088	0.0000828
75000	208.399	0.0000238814	0.0000399
80000	198.639	0.0000105247	0.0000185
90000	184.2	0.000001396	0.000005
100000	187.2	0.0000005	0.000005
104000	203.2	0.0000005	0.000005
110000	246.8	0.0000005	0.000005
114000	296.4	0.0000005	0.000005
120000	385.3	0.0000005	0.000005
130000	400	0.0000002	0.000003
